*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.253,295] <dbg> bttester: tester_init: Initializing tester
[00:00:06.089,141] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.089,202] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.089,233] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.091,278] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.091,491] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.091,491] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.091,522] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:19.340,911] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:28.401,306] <dbg> bttester_ccp: tbs_client_discover_cb: Discovered TBS - err (0) GTBS (1)
[00:00:28.526,336] <dbg> bttester_ccp: tbs_client_read_val_cb: TBS Client read characteristic value cb
