*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.977,233] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,447] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,630] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,813] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,996] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,149] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,332] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,485] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,668] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.978,820] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,034] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,217] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,370] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,553] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.979,675] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.979,705] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.979,736] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.979,827] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,590] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,834] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,018] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.981,048] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.981,109] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.036,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.476,531] <dbg> bttester_gap: set_io_cap: io_cap: 4
[00:00:06.508,300] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.566,497] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.566,497] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.652,069] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.652,069] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.778,961] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.778,961] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.904,388] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:06.904,418] <dbg> bttester_gatt: gatt_db_add: handle 0x0000
[00:00:16.077,453] <wrn> bt_conn: *conn should be unreferenced and initialized to NULL
[00:00:16.078,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.091,552] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.091,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.091,827] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:16.091,949] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.232,238] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.622,436] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.742,797] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.742,980] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.743,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:17.772,033] <wrn> bt_conn: Timeout discarded. No blocking in syswq.
[00:00:18.091,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.107,421] <wrn> bt_conn: *conn should be unreferenced and initialized to NULL
[00:00:19.108,612] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.168,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.168,914] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.169,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:19.169,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
