*** Booting Zephyr OS build v4.0.0-rc3-87-g1bf22569fc5e ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.986,663] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.990,814] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,997] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,149] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,516] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,668] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,821] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,004] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,340] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,523] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,675] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,858] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,980] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.993,011] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.993,041] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.993,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,469] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,835] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,262] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.994,293] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.994,323] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.994,354] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.013,793] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.013,824] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.081,329] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.081,329] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.139,221] <dbg> bttester: cmd_handler: cmd service 4 opcode 4 index 0
[00:00:06.139,221] <wrn> bttester_mesh: Loading default comp data
[00:00:06.139,465] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.410,278] <dbg> bttester: tester_rsp_with_index: service 4 opcode 4 index 0 status 0
[00:00:06.488,403] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:13.652,313] <dbg> bttester: cmd_handler: cmd service 4 opcode 2 index 0
[00:00:13.652,343] <dbg> bttester_mesh: config_prov: 
[00:00:13.652,374] <dbg> bttester: tester_rsp_with_index: service 4 opcode 2 index 0 status 0
[00:00:13.679,107] <dbg> bttester: cmd_handler: cmd service 4 opcode 120 index 0
[00:00:13.679,138] <dbg> bttester_mesh: start: 
[00:00:13.679,260] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:13.679,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.679,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,480] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,664] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,969] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.681,274] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:13.681,274] <dbg> bttester: tester_rsp_with_index: service 4 opcode 120 index 0 status 0
[00:00:13.682,067] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.682,739] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.682,952] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.683,135] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.683,441] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.683,685] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.683,959] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.684,143] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.684,356] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.684,814] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.685,058] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.709,991] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.709,991] <dbg> bttester: tester_event: service 4 opcode 132
[00:00:13.742,279] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.742,462] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.742,706] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.795,959] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.796,173] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.796,386] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.854,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.855,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.855,285] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.855,468] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.855,773] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.856,018] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.856,292] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.856,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.856,658] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.856,842] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.857,116] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.880,859] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.880,981] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.881,225] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.881,408] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.881,622] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.881,988] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.882,232] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,321] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,718] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.943,023] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.974,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.974,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.974,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.974,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.975,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.975,433] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.975,677] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,492] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,675] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,888] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.980,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.980,590] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.623,901] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.624,023] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.624,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.624,450] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.624,664] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.625,183] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.625,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.677,429] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.677,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.677,795] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.678,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.678,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.994,873] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.994,995] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.995,544] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.995,727] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.995,941] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.996,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.996,734] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.049,713] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.049,865] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.050,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.050,262] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.050,567] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.089,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.089,752] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.090,026] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.090,209] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.090,423] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.090,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.091,186] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.095,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.095,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.095,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.095,855] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.096,130] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.136,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.136,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.136,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.136,718] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.136,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.137,298] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.137,542] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.141,571] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.141,723] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.141,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.142,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.142,425] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.164,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.164,611] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.164,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.165,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.165,283] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.165,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.166,046] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.170,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.170,196] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.170,410] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.170,623] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.170,898] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.427,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
