TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_20_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_21_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_22_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_11 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_12 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_13 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_14 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_15 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_16 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_17 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_18 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_19 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_20 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_21 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_3 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_8 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_23_9 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_25_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_25_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_25_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_26_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_27_1 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_27_2 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_27_3 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_27_4 FALSE
