*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.253,326] <dbg> bttester: tester_init: Initializing tester
[00:00:06.103,637] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.103,668] <inf> bt_hci_core: HW Variant: nRF53x (0x0003)
[00:00:06.103,698] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.105,743] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.105,957] <inf> bt_hci_core: Identity: D7:B8:1B:0B:51:C3 (random)
[00:00:06.105,987] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.106,018] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.622,497] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_setup: 
[00:00:11.622,589] <dbg> bttester_bap_broadcast: setup_broadcast_source: Creating broadcast source with 1 subgroups with 2 str
[00:00:11.635,864] <dbg> bttester_bap_broadcast: btp_bap_broadcast_adv_start: 
[00:00:11.653,015] <dbg> bttester_bap_broadcast: btp_bap_broadcast_source_start: 
[00:00:11.757,629] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x200084d8
[00:00:11.757,629] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x200084d8
[00:00:11.759,429] <dbg> bttester_bap_broadcast: stream_started: Started stream 0x200086a0
[00:00:11.759,429] <dbg> bttester_bap_audio_stream: btp_bap_audio_stream_started: Started stream 0x200086a0
[00:00:11.767,761] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 2
[00:00:11.778,533] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 3
[00:00:11.797,180] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:11.807,159] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:11.919,952] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 17
[00:00:11.947,174] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:11.980,438] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 23
[00:00:12.007,171] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:12.041,107] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 29
[00:00:12.067,199] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:12.101,623] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 35
[00:00:12.127,166] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:12.192,321] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 1 seq 44
[00:00:12.192,596] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200086a0 len 40 seq 44
[00:00:12.217,193] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:12.217,376] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200086a0 sent
[00:00:12.293,090] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 54
[00:00:12.317,169] <dbg> bttester_bap_broadcast: stream_sent: Stream 0x200084d8 sent
[00:00:12.363,647] <dbg> bttester_bap_audio_stream: audio_send_timeout: Sending data to stream 0x200084d8 len 41 seq 61
