[00:00:13.924,530] <dbg> bttester_mesh: start: 
[00:00:13.924,652] <inf> bt_mesh_provisionee: Device UUID: fe43711e-1459-4a6d-9338-627c8df899d4
[00:00:13.926,239] <inf> bt_mesh_provisionee: Device UUID: fe43711e-1459-4a6d-9338-627c8df899d4
[00:00:13.926,269] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:13.952,117] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.952,148] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:16.807,495] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:16.815,155] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:16.815,185] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:18.542,388] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:18.542,419] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:19.257,507] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:19.257,537] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.260,925] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:19.260,925] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:19.863,342] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:19.863,372] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.866,882] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:19.866,912] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:20.209,259] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:20.209,289] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.326,904] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:20.326,934] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.330,322] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:20.330,352] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:20.927,429] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:20.927,459] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:22.086,242] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:22.086,273] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:22.089,660] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:22.089,660] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:22.175,415] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:22.175,415] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:22.178,802] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:22.178,833] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:22.300,842] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:22.300,872] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:22.304,260] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:22.304,290] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:24.443,695] <dbg> bttester_gap: le_connected: C0:07:E8:1C:28:DF (public): 0x00
[00:00:24.443,725] <dbg> bttester: tester_event: service 0x01 opcode 0x82
[00:00:24.445,251] <dbg> bttester: tester_event: service 0x01 opcode 0x80
[00:00:28.382,507] <dbg> bttester_gap: le_disconnected: C0:07:E8:1C:28:DF (public): 0x13
[00:00:28.382,537] <dbg> bttester: tester_event: service 0x01 opcode 0x83
