*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.250,915] <dbg> bttester: tester_init: Initializing tester
[00:00:05.994,750] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.001,373] <inf> fs_nvs: 8 Sectors of 4096 bytes
[00:00:06.001,403] <inf> fs_nvs: alloc wra: 0, fb0
[00:00:06.001,403] <inf> fs_nvs: data wra: 0, 40
[00:00:06.005,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,920] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,103] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,286] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,439] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,622] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,805] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.006,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,293] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,476] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,659] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,751] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.007,781] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.007,812] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.007,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,331] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,422] <inf> bt_hci_core: No ID address. App must call settings_load()
[00:00:06.008,453] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.090,545] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.090,576] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.107,696] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.107,727] <wrn> bttester_mesh: Loading default comp data
[00:00:06.107,910] <wrn> bt_mesh_access: Unused space in relation list: 5
[00:00:06.536,499] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.599,945] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.599,945] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.689,849] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.796,630] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.796,661] <dbg> bttester_mesh: config_prov: 
[00:00:11.796,691] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.853,912] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.853,973] <dbg> bttester_mesh: start: 
Loading stored settings
[00:00:11.854,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.854,492] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.854,705] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.854,736] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.854,797] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.858,947] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:11.859,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.859,222] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.859,954] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.860,107] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.860,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.860,687] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:11.860,717] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.861,450] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,030] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,396] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.862,976] <wrn> net_buf: Timeout discarded. No blocking in syswq
